hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_weekdays_nights,adults,children,babies,meal,city,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status
Resort Hotel,0,342,2017,September,27,1,0,0,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,3,No Deposit,,,0,Personal,0.0,0,0,Check-Out
Resort Hotel,0,737,2017,September,27,1,0,0,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,4,No Deposit,,,0,Personal,0.0,0,0,Check-Out
Resort Hotel,0,7,2017,September,27,1,0,1,1,0.0,0,Breakfast,Kabupaten Bangka,Direct,Direct,0,0,0,0,No Deposit,,,0,Personal,75.0,0,0,Check-Out
Resort Hotel,0,13,2017,September,27,1,0,1,1,0.0,0,Breakfast,Kabupaten Bangka,Corporate,Corporate,0,0,0,0,No Deposit,304.0,,0,Personal,75.0,0,0,Check-Out
Resort Hotel,0,14,2017,September,27,1,0,2,2,0.0,0,Breakfast,Kabupaten Bangka,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,98.0,0,1,Check-Out
Resort Hotel,0,14,2017,September,27,1,0,2,2,0.0,0,Breakfast,Kabupaten Bangka,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,98.0,0,1,Check-Out
Resort Hotel,0,0,2017,September,27,1,0,2,2,0.0,0,Breakfast,Kota Denpasar,Direct,Direct,0,0,0,0,No Deposit,,,0,Personal,107.0,0,0,Check-Out
Resort Hotel,0,9,2017,September,27,1,0,2,2,0.0,0,Full Board,Kota Denpasar,Direct,Direct,0,0,0,0,No Deposit,303.0,,0,Personal,103.0,0,1,Check-Out
Resort Hotel,1,85,2017,September,27,1,0,3,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,82.0,0,1,Canceled
Resort Hotel,1,75,2017,September,27,1,0,3,2,0.0,0,Dinner,Kota Denpasar,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,15.0,,0,Personal,105.5,0,0,Canceled
Resort Hotel,1,23,2017,September,27,1,0,4,2,0.0,0,Breakfast,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,123.0,0,0,Canceled
Resort Hotel,0,35,2017,September,27,1,0,4,2,0.0,0,Dinner,Kota Denpasar,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,145.0,0,0,Check-Out
Resort Hotel,0,68,2017,September,27,1,0,4,2,0.0,0,Breakfast,Kabupaten Sleman,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,,0,Personal,97.0,0,3,Check-Out
